id,tweet,emoji
0,CeeC is going to be another Tboss What is 45 million Naira,['face_with_tears_of_joy']
1,This gif kills me Death is literally gushing towards you and you really gon do a whole 3point turn,['weary_face']
2,LOVE TEST Raw Real JaDine,['purple_heart']
3,i swear we dont gotta look it finds us,['face_with_tears_of_joy']
4,We would like to wish everyone a very Happy New Year and all the best in 2018,['party_popper']
5,15000 retweets a new song song off Swaecation part 2 of unforgettable go,['speaking_head']
6,just know ilysm k bye friend,['purple_heart']
7,Too glam to give a damn,['sparkles']
8,START  fuck that sicko,"['clapping_hands', 'clapping_hands']"
9,Can I marry someone who understands all these memes,['loudly_crying_face']
10,My week on Twitter 2 Tweets See yours with,['party_popper']
11,rt this to gain seokjin stan mutuals follow everyone who retweets this and make sure to follow back,['smiling_face_with_hearteyes']
12,theyre 14 so i mean ,"['person_shrugging', 'female_sign']"
13,Your artist got a dope sound my boy runs DM them this song for a post,['fire']
14,START mannn sometimes we gotta take one to the face ,"['face_with_tears_of_joy', 'person_facepalming', 'male_sign']"
15,Awwee you got it,"['loudly_crying_face', 'red_heart']"
16,Like that but cat crying,['face_with_tears_of_joy']
17,i aint too hard to tell you how i feel,['hundred_points']
18,i luvv her so much,['red_heart']
19,We fit together like a mortise amp tenon joint with the added security of the odd screw carpenters sext Nailed it,['raising_hands']
20,YOU SO FUCKIN PRECIOUS WHEN YOU SMILEEE,['smiling_face_with_hearteyes']
21,When your favorite actor supports your favorite team,['smiling_face_with_hearteyes']
22,Your first opportunity to see the reigning 60meter champion Xavier Smith is Jan 13 as the Nittany Lions ho,['trophy']
23,arons friend ig update Its weird but still proud Day 3,['face_with_tears_of_joy']
24,Do em how they do yu,['speaking_head']
25,Guess we better hop on the mic and hope for the best ,"['person_shrugging', 'female_sign']"
26,Will Smith at it again in our beautiful Colombia with ,['fire']
27,He is like an angel,['smiling_face_with_hearteyes']
28,AHHH AINT MY NAME MY MAMA DIDNT NAME ME AHHH,['loudly_crying_face']
29,i have a whole closet full of clothes yet i never have anything to wear ,"['person_facepalming', 'female_sign']"
30,yooo the moon looks extra beautiful tonighttt,['weary_face']
31,I love how American staff greet you,['beaming_face_with_smiling_eyes']
32,START 2018 UK Rap and Drill March Madness Mixed by,['backhand_index_pointing_down']
33,Assalam o Alaikum wr wb jumma Mubarak May Allah cleanse our hearts from Hypocrisy and grant us sincerity,"['two_hearts', 'two_hearts']"
34,Virgins will kiss you the whole day and text you the next day on some Yesterday babe Bitch Yesterday ini,['smiling_face_with_hearteyes']
35,Thank you so much beautiful ,"['heart_suit', 'heart_suit']"
